,um,reflectance,uncertainty
459,2.9975,0.001537,3.1e-05
460,3.0025,0.001544,1.4e-05
461,3.0075,0.001508,4e-05
462,3.0125,0.001509,3.5e-05
463,3.0175,0.001512,3.9e-05
464,3.0225,0.001486,5.2e-05
465,3.0275,0.001524,6.9e-05
466,3.0325,0.001592,9.3e-05
467,3.0375,0.001536,2.7e-05
468,3.0425,0.001515,3.9e-05
469,3.0475,0.001531,5.1e-05
470,3.0525,0.001554,8.3e-05
471,3.0575,0.001589,0.000115
472,3.0625,0.001594,6.4e-05
473,3.0675,0.001623,7.4e-05
474,3.0725,0.001703,9.6e-05
475,3.0775,0.001758,0.000115
476,3.0825,0.001796,2.2e-05
477,3.0875,0.001773,5.3e-05
478,3.0925,0.001711,2.9e-05
479,3.0975,0.001782,9.5e-05
480,3.1025,0.001836,3.5e-05
481,3.1075,0.001883,3.7e-05
482,3.1125,0.001858,8.8e-05
483,3.1175,0.001753,5.2e-05
484,3.1225,0.001739,0.000114
485,3.1275,0.001729,0.000125
486,3.1325,0.001705,0.000108
487,3.1375,0.001702,5.5e-05
488,3.1425,0.001634,4e-05
489,3.1475,0.001486,6.1e-05
490,3.1525,0.001583,2.8e-05
491,3.1575,0.001578,1.6e-05
492,3.1625,0.001623,2.5e-05
493,3.1675,0.001598,8.6e-05
494,3.1725,0.00148,0.00015
495,3.1775,0.001384,6.5e-05
496,3.1825,0.001479,3.3e-05
497,3.1875,0.001624,2.4e-05
498,3.1925,0.001645,5.6e-05
499,3.1975,0.00171,5.4e-05
500,3.2025,0.001706,5.5e-05
501,3.2075,0.001728,5.1e-05
502,3.2125,0.001688,4.5e-05
503,3.2175,0.00165,8.7e-05
504,3.2225,0.00157,0.000115
505,3.2275,0.001609,7.6e-05
506,3.2325,0.001721,2.9e-05
507,3.2375,0.001826,7.2e-05
508,3.2425,0.001878,6.5e-05
509,3.2475,0.001971,5.9e-05
510,3.2525,0.001971,8e-05
511,3.2575,0.00205,8.5e-05
512,3.2625,0.002109,6.6e-05
513,3.2675,0.002154,5.8e-05
514,3.2725,0.002104,5.1e-05
515,3.2775,0.00223,4.6e-05
516,3.2825,0.002358,0.000178
517,3.2875,0.002464,6.7e-05
518,3.2925,0.002509,1.9e-05
519,3.2975,0.002527,2.3e-05
520,3.3025,0.00262,0.000121
521,3.3075,0.00267,8e-05
522,3.3125,0.002746,6.1e-05
523,3.3175,0.002829,0.000105
524,3.3225,0.002931,0.000136
525,3.3275,0.002934,8.4e-05
526,3.3325,0.003006,8.1e-05
527,3.3375,0.003099,3.8e-05
528,3.3425,0.003143,7.2e-05
529,3.3475,0.00303,0.000168
530,3.3525,0.003072,8.9e-05
531,3.3575,0.003292,5.8e-05
532,3.3625,0.003478,7.8e-05
533,3.3675,0.003419,1.9e-05
534,3.3725,0.00337,3.8e-05
535,3.3775,0.003331,8.2e-05
536,3.3825,0.003452,9.8e-05
537,3.3875,0.003438,7.8e-05
538,3.3925,0.003456,8.3e-05
539,3.3975,0.003716,5e-05
540,3.4025,0.003615,8e-05
541,3.4075,0.003712,0.000135
542,3.4125,0.003729,7.1e-05
543,3.4175,0.003726,2.7e-05
544,3.4225,0.003786,4.3e-05
545,3.4275,0.003672,4.7e-05
546,3.4325,0.003709,6.9e-05
547,3.4375,0.003821,8.9e-05
548,3.4425,0.004009,4.6e-05
549,3.4475,0.004086,0.000164
550,3.4525,0.004162,8.5e-05
551,3.4575,0.004024,0.000229
552,3.4625,0.004058,0.000212
553,3.4675,0.003962,0.000224
554,3.4725,0.003897,0.000111
555,3.4775,0.003927,3.8e-05
556,3.4825,0.003959,4.4e-05
557,3.4875,0.003979,5.2e-05
558,3.4925,0.004124,5.7e-05
559,3.4975,0.004139,7.3e-05
560,3.5025,0.004062,0.000157
561,3.5075,0.003989,0.000149
562,3.5125,0.004045,8.1e-05
563,3.5175,0.004151,7.5e-05
564,3.5225,0.004282,6.4e-05
565,3.5275,0.004358,3.1e-05
566,3.5325,0.004378,0.000113
567,3.5375,0.004299,0.000163
568,3.5425,0.004204,8.2e-05
569,3.5475,0.004169,4.6e-05
570,3.5525,0.004212,5.7e-05
571,3.5575,0.004244,0.00016
572,3.5625,0.004302,7.6e-05
573,3.5675,0.004297,6.9e-05
574,3.5725,0.004259,6.5e-05
575,3.5775,0.00429,0.0001
576,3.5825,0.004438,0.000139
577,3.5875,0.004281,0.000114
578,3.5925,0.004337,0.000114
579,3.5975,0.004267,8.7e-05
580,3.6025,0.004318,3.5e-05
581,3.6075,0.004391,6.1e-05
582,3.6125,0.004453,0.000114
583,3.6175,0.00459,9.7e-05
584,3.6225,0.004502,0.000128
585,3.6275,0.00432,0.000232
586,3.6325,0.004476,0.00017
587,3.6375,0.004428,8.9e-05
588,3.6425,0.004238,5.7e-05
589,3.6475,0.004194,0.000102
590,3.6525,0.004175,7.3e-05
591,3.6575,0.004244,3.3e-05
592,3.6625,0.004161,5.6e-05
593,3.6675,0.004094,9.9e-05
594,3.6725,0.004015,0.00014
595,3.6775,0.003973,0.000186
596,3.6825,0.003938,0.000113
597,3.6875,0.003915,4.4e-05
598,3.6925,0.004027,0.000128
599,3.6975,0.004155,8.3e-05
600,3.7025,0.004025,6.9e-05
601,3.7075,0.004083,0.00011
602,3.7125,0.004138,0.000152
603,3.7175,0.004018,0.000256
604,3.7225,0.003962,0.00011
605,3.7275,0.004139,0.000204
606,3.7325,0.004039,0.000125
607,3.7375,0.00401,0.000342
608,3.7425,0.00393,0.000324
609,3.7475,0.003986,0.000195
610,3.7525,0.004115,0.000137
611,3.7575,0.003877,0.000113
612,3.7625,0.003771,6.9e-05
613,3.7675,0.003765,4.7e-05
614,3.7725,0.004011,0.000118
615,3.7775,0.004151,8.4e-05
616,3.7825,0.004121,0.000119
617,3.7875,0.003894,7.7e-05
618,3.7925,0.00385,8.4e-05
619,3.7975,0.003708,0.0001
620,3.8025,0.003642,0.000111
621,3.8075,0.003654,8.6e-05
622,3.8125,0.003689,3.5e-05
623,3.8175,0.003616,5.1e-05
624,3.8225,0.003664,7.5e-05
625,3.8275,0.00373,0.000108
626,3.8325,0.003632,5e-05
627,3.8375,0.003491,7.5e-05
628,3.8425,0.003431,0.000102
629,3.8475,0.003475,4.6e-05
630,3.8525,0.003404,8.2e-05
631,3.8575,0.003608,0.000194
632,3.8625,0.003627,0.000107
633,3.8675,0.003656,8.3e-05
634,3.8725,0.00354,0.000122
635,3.8775,0.003423,0.000121
636,3.8825,0.003299,0.00013
637,3.8875,0.003542,0.000313
638,3.8925,0.003538,0.000336
639,3.8975,0.003531,0.000297
640,3.9025,0.003411,0.000134
641,3.9075,0.003188,0.000126
642,3.9125,0.003306,0.000214
643,3.9175,0.003624,4.7e-05
644,3.9225,0.003496,0.000285
645,3.9275,0.003363,0.000153
646,3.9325,0.003321,0.000176
647,3.9375,0.003314,0.000237
648,3.9425,0.003323,0.000239
649,3.9475,0.003255,0.000169
650,3.9525,0.003209,4.6e-05
651,3.9575,0.003199,0.000206
652,3.9625,0.002957,5.2e-05
653,3.9675,0.003072,0.00021
654,3.9725,0.003067,0.000366
655,3.9775,0.003227,0.000285
656,3.9825,0.003247,0.000127
657,3.9875,0.003445,0.000144
658,3.9925,0.003444,0.00017
659,3.9975,0.003196,6.1e-05
660,4.0025,0.003092,6.4e-05
661,4.0075,0.002945,0.000139
662,4.0125,0.003115,9.4e-05
663,4.0175,0.003009,0.000192
664,4.0225,0.003019,0.000226
665,4.0275,0.00311,0.000271
666,4.0325,0.003156,0.000209
667,4.0375,0.002852,5e-05
668,4.0425,0.002902,9.8e-05
669,4.0475,0.003053,0.000151
670,4.0525,0.003064,0.000263
671,4.0575,0.002989,0.000106
672,4.0625,0.002992,0.000103
673,4.0675,0.002901,0.000402
674,4.0725,0.002883,0.000314
675,4.0775,0.002937,3.9e-05
676,4.0825,0.003031,7e-05
677,4.0875,0.003147,6.5e-05
