,um,reflectance,uncertainty
637,3.8875,0.004854,0.000176
638,3.8925,0.004808,0.000125
639,3.8975,0.004782,0.000259
640,3.9025,0.004808,0.000284
641,3.9075,0.004791,0.000214
642,3.9125,0.004599,0.000201
643,3.9175,0.004329,0.000156
644,3.9225,0.004324,0.000181
645,3.9275,0.004374,0.000245
646,3.9325,0.004445,0.000104
647,3.9375,0.004778,0.000259
648,3.9425,0.004729,0.000399
649,3.9475,0.004534,0.000232
650,3.9525,0.004357,0.000174
651,3.9575,0.004152,9e-05
652,3.9625,0.004306,0.000109
653,3.9675,0.004285,0.000217
654,3.9725,0.004422,0.000184
655,3.9775,0.004527,0.000482
656,3.9825,0.004332,0.000326
657,3.9875,0.00433,0.00018
658,3.9925,0.004413,0.000223
659,3.9975,0.004722,8.1e-05
660,4.0025,0.004878,0.000217
661,4.0075,0.004707,0.00039
662,4.0125,0.004395,0.000328
663,4.0175,0.004211,0.000215
664,4.0225,0.004375,8.1e-05
665,4.0275,0.004629,0.000517
666,4.0325,0.004435,0.000405
667,4.0375,0.004228,0.000456
668,4.0425,0.004504,0.000566
669,4.0475,0.00458,0.00046
670,4.0525,0.004095,0.000118
671,4.0575,0.004373,0.000261
672,4.0625,0.004483,9.3e-05
673,4.0675,0.004084,0.000415
674,4.0725,0.004129,0.000202
675,4.0775,0.004327,3.6e-05
676,4.0825,0.004001,0.000189
677,4.0875,0.003852,0.000111
678,4.0925,0.004046,0.000116
679,4.0975,0.004037,9.6e-05
680,4.1025,0.004263,0.000197
681,4.1075,0.004545,0.000138
682,4.1125,0.004235,8.6e-05
683,4.1175,0.004075,0.000433
684,4.1225,0.004219,0.000157
685,4.1275,0.004201,5.1e-05
686,4.1325,0.004145,0.000147
687,4.1375,0.004407,0.000273
688,4.1425,0.004345,0.000153
689,4.1475,0.0042,0.000177
690,4.1525,0.004334,0.000216
691,4.1575,0.004426,0.000223
692,4.1625,0.004297,0.000354
693,4.1675,0.003997,0.000168
694,4.1725,0.004035,0.000103
695,4.1775,0.004621,7.6e-05
696,4.1825,0.004335,0.00038
697,4.1875,0.004208,0.000457
698,4.1925,0.003943,0.000102
699,4.1975,0.00384,7.8e-05
700,4.2025,0.003727,0.000263
701,4.2075,0.003725,0.000297
702,4.2125,0.003969,0.000232
703,4.2175,0.004375,0.000509
704,4.2225,0.004008,0.000606
705,4.2275,0.00331,0.000187
706,4.2325,0.003518,0.000253
707,4.2375,0.003106,0.000112
708,4.2425,0.003018,9.6e-05
709,4.2475,0.003205,0.000313
710,4.2525,0.002712,0.000293
711,4.2575,0.002487,0.000173
712,4.2625,0.002506,0.000169
713,4.2675,0.002689,0.000176
714,4.2725,0.002971,0.000232
715,4.2775,0.003094,0.000307
716,4.2825,0.002922,0.000272
717,4.2875,0.003095,0.000482
718,4.2925,0.003321,0.000407
719,4.2975,0.003796,0.000125
720,4.3025,0.003732,0.000221
721,4.3075,0.003779,0.00068
722,4.3125,0.003784,0.000271
723,4.3175,0.004033,0.000108
724,4.3225,0.003783,0.000174
725,4.3275,0.003647,9.4e-05
726,4.3325,0.004024,0.000289
727,4.3375,0.004181,0.000324
728,4.3425,0.004244,0.00025
729,4.3475,0.004183,0.000414
730,4.3525,0.003982,0.000172
731,4.3575,0.003992,0.000267
732,4.3625,0.004268,0.000653
733,4.3675,0.004373,0.000113
734,4.3725,0.003937,0.000226
735,4.3775,0.003173,0.000305
736,4.3825,0.003323,0.000542
737,4.3875,0.003134,9.7e-05
738,4.3925,0.003585,0.000295
739,4.3975,0.003941,0.000442
740,4.4025,0.004025,0.000288
741,4.4075,0.004318,0.000594
742,4.4125,0.004091,0.000377
743,4.4175,0.003792,0.000316
744,4.4225,0.004242,0.000571
745,4.4275,0.004153,0.000196
746,4.4325,0.003512,0.000166
747,4.4375,0.0039,0.000144
748,4.4425,0.004812,0.000211
749,4.4475,0.004807,0.000338
750,4.4525,0.004082,0.00035
751,4.4575,0.003547,0.000418
752,4.4625,0.003515,0.000107
753,4.4675,0.003785,0.000327
754,4.4725,0.003379,0.000124
755,4.4775,0.003399,0.000257
756,4.4825,0.003367,0.000166
757,4.4875,0.003556,0.000736
758,4.4925,0.003864,0.000662
759,4.4975,0.003857,0.000677
760,4.5025,0.003927,0.000718
761,4.5075,0.003309,0.000449
762,4.5125,0.003585,0.000653
763,4.5175,0.003997,0.000906
764,4.5225,0.003612,0.000601
765,4.5275,0.00307,0.000467
766,4.5325,0.002937,0.00045
767,4.5375,0.002863,0.000329
768,4.5425,0.002975,0.000195
769,4.5475,0.003244,0.00011
770,4.5525,0.003327,0.000406
771,4.5575,0.003251,0.00012
772,4.5625,0.003315,0.000107
773,4.5675,0.003809,0.000629
774,4.5725,0.00338,0.000754
775,4.5775,0.003196,0.000444
776,4.5825,0.00375,0.000665
777,4.5875,0.003243,0.000328
778,4.5925,0.00313,0.000469
779,4.5975,0.003415,0.000778
780,4.6025,0.003922,0.000368
